endTime;artistName;trackName;msPlayed;;;;;;;;;;;;;;;
2020-04-01 04:14;Bad Bunny;Yo Perreo Sola;57818;;;;;;;;;;;;;;;
2020-04-01 12:21;Bad Bunny;Safaera;295176;;;;;;;;;;;;;;;
2020-04-01 12:25;Rauw Alejandro;Fantasias - Remix;216429;;;;;;;;;;;;;;;
2020-04-01 12:25;Dímelo Flow;Sigues Con El;4757;;;;;;;;;;;;;;;
2020-04-01 12:27;Frank Sinatra;My Way;78041;;;;;;;;;;;;;;;
2020-04-01 12:28;Eminem;Premonition - Intro;173893;;;;;;;;;;;;;;;
2020-04-01 12:31;Eminem;Unaccommodating (feat. Young M.A);180325;;;;;;;;;;;;;;;
2020-04-01 12:35;Eminem;Greatest;226937;;;;;;;;;;;;;;;
2020-04-01 13:59;Eminem;Lucky You (feat. Joyner Lucas);182641;;;;;;;;;;;;;;;
2020-04-01 17:55;Las Pastillas del Abuelo;El Favor;4885;;;;;;;;;;;;;;;
2020-04-01 17:55;Rauw Alejandro;Tattoo;155242;;;;;;;;;;;;;;;
2020-04-01 17:55;Las Pastillas del Abuelo;Rompecabezas de Amor;3562;;;;;;;;;;;;;;;
2020-04-01 17:55;Bad Bunny;Safaera;6528;;;;;;;;;;;;;;;
2020-04-01 18:02;Las Pastillas del Abuelo;Rompecabezas de Amor;188928;;;;;;;;;;;;;;;
2020-04-01 21:15;Las Pastillas del Abuelo;Rompecabezas de Amor;3029;;;;;;;;;;;;;;;
2020-04-01 21:15;Eminem;Premonition - Intro;1429;;;;;;;;;;;;;;;
2020-04-01 21:15;Eminem;Unaccommodating (feat. Young M.A);5205;;;;;;;;;;;;;;;
2020-04-01 21:20;Eminem;Like Toy Soldiers;296880;;;;;;;;;;;;;;;
2020-04-01 21:21;Eminem;Shake That;52401;;;;;;;;;;;;;;;
2020-04-01 21:25;Eminem;Shake That;221300;;;;;;;;;;;;;;;
2020-04-01 21:31;Eminem;Cinderella Man;229537;;;;;;;;;;;;;;;
2020-04-01 21:35;Eminem;Just Lose It;248680;;;;;;;;;;;;;;;
2020-04-01 21:39;Eminem;Cinderella Man;277;;;;;;;;;;;;;;;
2020-04-01 21:39;Eminem;The Monster;242177;;;;;;;;;;;;;;;
2020-04-01 22:22;Eminem;The Monster;1472;;;;;;;;;;;;;;;
2020-04-02 19:39;No Te Va Gustar;Ángel Con Campera;279666;;;;;;;;;;;;;;;
2020-04-02 19:45;No Te Va Gustar;Tan Lejos (En Vivo);313853;;;;;;;;;;;;;;;
2020-04-02 19:49;No Te Va Gustar;De Nada Sirve;237873;;;;;;;;;;;;;;;
2020-04-02 19:55;No Te Va Gustar;Al Vacío;263360;;;;;;;;;;;;;;;
2020-04-02 20:01;No Te Va Gustar;Chau;320656;;;;;;;;;;;;;;;
2020-04-02 22:22;No Te Va Gustar;Arde;263092;;;;;;;;;;;;;;;
2020-04-02 22:23;Lyanno;Luna Llena;4202;;;;;;;;;;;;;;;
2020-04-02 22:23;No Te Va Gustar;No Necesito Nada;97481;;;;;;;;;;;;;;;
2020-04-02 22:26;Cali Y El Dandee;Borracho De Amor;175706;;;;;;;;;;;;;;;
2020-04-02 22:30;Rauw Alejandro;Elegí (feat. Dímelo Flow);197721;;;;;;;;;;;;;;;
2020-04-02 22:54;Rauw Alejandro;Elegí (feat. Dímelo Flow);6336;;;;;;;;;;;;;;;
2020-04-02 22:54;Sebastian Yatra;TBT;66751;;;;;;;;;;;;;;;
2020-04-02 22:57;Cali Y El Dandee;Borracho De Amor;175706;;;;;;;;;;;;;;;
2020-04-02 23:01;Rauw Alejandro;Elegí (feat. Dímelo Flow);197721;;;;;;;;;;;;;;;
2020-04-02 23:04;Sebastian Yatra;TBT;229194;;;;;;;;;;;;;;;
2020-04-02 23:05;Rauw Alejandro;Elegí (feat. Dímelo Flow);47786;;;;;;;;;;;;;;;
2020-04-02 23:08;Ozuna;100 Preguntas;178080;;;;;;;;;;;;;;;
2020-04-02 23:12;Rich Music LTD;Imaginate;225013;;;;;;;;;;;;;;;
2020-04-02 23:26;Bad Bunny;La Difícil;128851;;;;;;;;;;;;;;;
2020-04-02 23:29;Ozuna;100 Preguntas;178080;;;;;;;;;;;;;;;
2020-04-02 23:33;Rich Music LTD;Imaginate;225013;;;;;;;;;;;;;;;
2020-04-02 23:36;Bad Bunny;La Difícil;163084;;;;;;;;;;;;;;;
2020-04-02 23:46;Rauw Alejandro;Una Noche;181399;;;;;;;;;;;;;;;
2020-04-02 23:49;J Balvin;Rojo;150853;;;;;;;;;;;;;;;
2020-04-02 23:50;Myke Towers;Diosa;2218;;;;;;;;;;;;;;;
2020-04-02 23:50;Rauw Alejandro;Tattoo;66118;;;;;;;;;;;;;;;
2020-04-02 23:51;Lenny Tavárez;La Pared 360;11157;;;;;;;;;;;;;;;
2020-04-02 23:56;Frank Sinatra;That's Life;303352;;;;;;;;;;;;;;;
2020-04-03 00:00;Benjamín Amadeo;Las Flores (feat. Los Auténticos Decadentes);213948;;;;;;;;;;;;;;;
2020-04-03 00:01;Salvapantallas;Vueltas;44369;;;;;;;;;;;;;;;
2020-04-03 00:01;Morat;Presiento;3436;;;;;;;;;;;;;;;
2020-04-03 00:04;Queen;Love Of My Life - Live;227369;;;;;;;;;;;;;;;
2020-04-03 00:10;Queen;Bohemian Rhapsody - Remastered 2011;354320;;;;;;;;;;;;;;;
2020-04-03 00:14;Queen;Another One Bites The Dust;214640;;;;;;;;;;;;;;;
2020-04-03 00:18;Queen;I Want It All - Single Version;235424;;;;;;;;;;;;;;;
2020-04-03 19:43;Queen;I Want It All - Single Version;4435;;;;;;;;;;;;;;;
2020-04-03 19:43;Queen;Love Of My Life - Live;1462;;;;;;;;;;;;;;;
2020-04-03 19:43;Queen;I Want To Break Free - Single Remix;557;;;;;;;;;;;;;;;
2020-04-03 20:14;Queen;The Show Must Go On - Remastered 2011;24311;;;;;;;;;;;;;;;
2020-04-03 21:04;Lyanno;Luna Llena;27328;;;;;;;;;;;;;;;
2020-04-03 21:04;Queen;The Show Must Go On - Remastered 2011;1621;;;;;;;;;;;;;;;
2020-04-03 21:08;Lunay;La Cama - Remix;211889;;;;;;;;;;;;;;;
2020-04-03 21:13;Calle 13;El Aguante;288746;;;;;;;;;;;;;;;
2020-04-03 21:17;Calle 13;Ojos Color Sol (feat. Silvio Rodríguez);215813;;;;;;;;;;;;;;;
2020-04-03 21:18;Calle 13;Multi_Viral (feat. Julian Assange, Kamilya Jubran & Tom Morello);60660;;;;;;;;;;;;;;;
2020-04-03 21:19;No Te Va Gustar;Ángel Con Campera;52500;;;;;;;;;;;;;;;
2020-04-03 22:08;Las Pastillas del Abuelo;Ojos de Dragón!;1237;;;;;;;;;;;;;;;
2020-04-03 22:08;No Te Va Gustar;Ángel Con Campera;7466;;;;;;;;;;;;;;;
2020-04-03 22:12;Las Pastillas del Abuelo;Incontinencia Verbal;230568;;;;;;;;;;;;;;;
2020-04-03 22:13;Las Pastillas del Abuelo;Amar y Envejecer;35832;;;;;;;;;;;;;;;
2020-04-03 22:13;Las Pastillas del Abuelo;Más Lejos;682;;;;;;;;;;;;;;;
2020-04-03 22:16;Las Pastillas del Abuelo;Que Carajo Es el Amor?;192920;;;;;;;;;;;;;;;
2020-04-03 22:19;Las Pastillas del Abuelo;Tantas Escaleras;153822;;;;;;;;;;;;;;;
2020-04-03 22:19;Las Pastillas del Abuelo;La Casada;1877;;;;;;;;;;;;;;;
2020-04-04 13:16;Jowell & Randy;Vamo a Busal;35498;;;;;;;;;;;;;;;
2020-04-04 13:16;Las Pastillas del Abuelo;Enano;4928;;;;;;;;;;;;;;;
2020-04-04 13:19;Las Pastillas del Abuelo;Que Carajo Es el Amor?;192920;;;;;;;;;;;;;;;
2020-04-04 14:43;Las Pastillas del Abuelo;Tantas Escaleras;110580;;;;;;;;;;;;;;;
2020-04-04 14:46;Las Pastillas del Abuelo;Que Carajo Es el Amor?;192920;;;;;;;;;;;;;;;
2020-04-04 14:56;Las Pastillas del Abuelo;Tantas Escaleras;303866;;;;;;;;;;;;;;;
2020-04-04 15:03;Las Pastillas del Abuelo;La Creatividad;5653;;;;;;;;;;;;;;;
2020-04-04 15:03;Las Pastillas del Abuelo;La Casada;221850;;;;;;;;;;;;;;;
2020-04-04 15:40;Alaina Castillo;no importa;94144;;;;;;;;;;;;;;;
2020-04-04 15:44;Rauw Alejandro;Tattoo;202886;;;;;;;;;;;;;;;
2020-04-04 15:49;J Balvin;Rojo;30021;;;;;;;;;;;;;;;
2020-04-04 15:53;Dímelo Flow;Sigues Con El;226532;;;;;;;;;;;;;;;
2020-04-04 15:58;Rauw Alejandro;Fantasias - Remix;267241;;;;;;;;;;;;;;;
2020-04-04 16:02;Sebastian Yatra;TBT;239133;;;;;;;;;;;;;;;
2020-04-04 16:05;Bad Bunny;Yo Perreo Sola;172127;;;;;;;;;;;;;;;
2020-04-04 16:07;J Balvin;Amarillo;157733;;;;;;;;;;;;;;;
2020-04-04 16:11;Myke Towers;Diosa;214013;;;;;;;;;;;;;;;
2020-04-04 16:14;Anuel AA;Keii;163695;;;;;;;;;;;;;;;
2020-04-04 19:05;Anuel AA;Keii;3093;;;;;;;;;;;;;;;
2020-04-04 19:05;KAROL G;Tusa;1151;;;;;;;;;;;;;;;
2020-04-04 19:10;Bad Bunny;Yo Perreo Sola;93397;;;;;;;;;;;;;;;
2020-04-04 19:10;Myke Towers;Diosa;2495;;;;;;;;;;;;;;;
2020-04-04 19:11;Rauw Alejandro;Elegí (feat. Dímelo Flow);1749;;;;;;;;;;;;;;;
2020-04-04 19:11;Tainy;TU AMIGA (with Justin Quiles & Dylan Fuentes feat. Lennox & Llane);16170;;;;;;;;;;;;;;;
2020-04-04 19:15;Ozuna;100 Preguntas;178080;;;;;;;;;;;;;;;
2020-04-04 19:17;Bad Bunny;La Difícil;810;;;;;;;;;;;;;;;
2020-04-04 19:17;Rauw Alejandro;Tattoo;661;;;;;;;;;;;;;;;
2020-04-04 19:17;Rich Music LTD;Imaginate;152172;;;;;;;;;;;;;;;
2020-04-04 19:17;Rauw Alejandro;Una Noche;1045;;;;;;;;;;;;;;;
2020-04-04 19:17;J Balvin;Rojo;533;;;;;;;;;;;;;;;
2020-04-04 19:18;Myke Towers;Diosa;4544;;;;;;;;;;;;;;;
2020-04-04 19:18;Lenny Tavárez;La Pared 360;10240;;;;;;;;;;;;;;;
2020-04-04 19:21;Pedro Capó;Buena Suerte;174917;;;;;;;;;;;;;;;
2020-04-04 21:14;Myke Towers;Diosa;0;;;;;;;;;;;;;;;
2020-04-04 21:16;Myke Towers;Diosa;0;;;;;;;;;;;;;;;
2020-04-04 21:17;Anuel AA;Keii;9440;;;;;;;;;;;;;;;
2020-04-04 21:19;Jorge Drexler;Inoportuna;164688;;;;;;;;;;;;;;;
2020-04-04 21:25;Jorge Drexler;Las transeúntes;302698;;;;;;;;;;;;;;;
2020-04-04 21:29;Jorge Drexler;Todo se transforma;216845;;;;;;;;;;;;;;;
2020-04-04 21:33;Jorge Drexler;La trama y el desenlace;245947;;;;;;;;;;;;;;;
2020-04-04 21:36;Jorge Drexler;Telefonía;184938;;;;;;;;;;;;;;;
2020-04-04 21:48;No Te Va Gustar;De Nada Sirve;237814;;;;;;;;;;;;;;;
2020-04-04 21:51;Jorge Drexler;Mediterráneo;206948;;;;;;;;;;;;;;;
2020-04-04 21:54;Jorge Drexler;Me haces bien;184434;;;;;;;;;;;;;;;
2020-04-04 21:58;Jorge Drexler;Universos paralelos (feat. Ana Tijoux);221947;;;;;;;;;;;;;;;
2020-04-04 22:07;Jorge Drexler;Salvapantallas;74280;;;;;;;;;;;;;;;
2020-04-04 22:10;Bad Bunny;Yo Perreo Sola;172025;;;;;;;;;;;;;;;
2020-04-04 22:13;J Balvin;Amarillo;157690;;;;;;;;;;;;;;;
2020-04-04 22:21;Myke Towers;Diosa;147319;;;;;;;;;;;;;;;
2020-04-04 22:30;Camilo;Favorito;211516;;;;;;;;;;;;;;;
2020-04-04 22:35;Bad Bunny;Safaera;295177;;;;;;;;;;;;;;;
2020-04-04 22:39;Tainy;TU AMIGA (with Justin Quiles & Dylan Fuentes feat. Lennox & Llane);232698;;;;;;;;;;;;;;;
2020-04-04 22:48;Daddy Yankee;Definitivamente;217613;;;;;;;;;;;;;;;
2020-04-04 22:52;Nicky Jam;Muévelo;194685;;;;;;;;;;;;;;;
2020-04-05 00:58;Melendi;Por Encima de la Bruma;118549;;;;;;;;;;;;;;;
2020-04-05 01:01;Bad Bunny;Yo Perreo Sola;172127;;;;;;;;;;;;;;;
2020-04-05 01:03;J Balvin;Amarillo;157733;;;;;;;;;;;;;;;
2020-04-05 01:06;Myke Towers;Diosa;131624;;;;;;;;;;;;;;;
2020-04-05 01:34;Rauw Alejandro;Elegí (feat. Dímelo Flow);148667;;;;;;;;;;;;;;;
2020-04-05 01:37;Ozuna;100 Preguntas;177940;;;;;;;;;;;;;;;
2020-04-05 01:42;Morat;No Termino;239686;;;;;;;;;;;;;;;
